Date	ID	Name	ISIN	GEOGN	ICBIN	ICBSSN	ICBSN	ICBSUN	PRICE	PRICECHF	MVUSD	ST30D	EPSREV	EPSREV3M	SALREV	WSTTMDPSG	WSOPMAG	RSI97	PAVG10W40W	WSFCFASSETS	WSROA	VOLA	TTMEY	EDYEPO	NTMFCY
2025-04-29	0004.HK	WHARF HOLDINGS	HK0004000045	HONG KONG	Real Estate	Real Estate	Real Estate Investment and Services	Real Estate Holding and Development	19.08	2.027	7515.67	2152616.621	0	0.0141	0	1	-0.0094	47.854	0.91	0.0201	-1.47	0.3567	-0.0552	7.049	NA
2025-04-29	0011.HK	HANG SENG BANK	HK0011000095	HONG KONG	Financials	Banks	Banks	Banks	105.7	11.23	25644.19	22437718.007	0.182	0.0272	0.2	1.046	-4.14	53.236	1.1	-0.00165	2.58	0.2486	0.0881	8.564	NA
2025-04-29	0012.HK	HENDERSON LD.DEV.	HK0012000102	HONG KONG	Real Estate	Real Estate	Real Estate Investment and Services	Real Estate Holding and Development	21.6	2.295	13478.94	11027242.088	0	-0.116	0	1	-3.84	47.78	0.94	-0.0111	1.51	0.2818	0.0601	8.324	NA
2025-04-29	0016.HK	SUN HUNG KAI PROPERTIES	HK0016000132	HONG KONG	Real Estate	Real Estate	Real Estate Investment and Services	Real Estate Holding and Development	72.45	7.698	27060.51	26309581.409	-0.0714	-0.0315	-0.0714	0.758	-2.22	48.549	0.99	-0.0015	2.75	0.2434	0.0906	10.791	NA
2025-04-29	0019.HK	SWIRE PACIFIC 'A'	HK0019000162	HONG KONG	Consumer Staples	Food, Beverage and Tobacco	Beverages	Soft Drinks	66.05	7.018	10586.81	8497411.619	0	0.0183	0	1.047	-0.13	49.804	1.01	0.00547	1.55	0.2572	0.0463	11.131	NA
2025-04-29	0066.HK	MTR	HK0066009694	HONG KONG	Industrials	Industrial Goods and Services	Industrial Transportation	Railroads	26.3	2.794	21101.59	14278967.219	0	0.0761	0	1	0.16	49.853	0.97	-0.0334	4.96	0.223	0.0964	10.635	NA
2025-04-29	0083.HK	SINO LAND	HK0083000502	HONG KONG	Real Estate	Real Estate	Real Estate Investment and Services	Real Estate Holding and Development	7.85	0.834	9258.22	4746221.958	0	-0.0363	0	1	-3.79	49.905	1.01	0.0193	2.47	0.2001	0.0667	7.694	NA
2025-04-29	0388.HK	HONG KONG EXS.& CLEAR.	HK0388045442	HONG KONG	Financials	Financial Services	Investment Banking and Brokerage Services	Investment Services	335.4	35.635	54809.87	269408411.418	0.0526	0.0834	0.0526	1.101	-5.86	52.617	1.16	0.0076	5.36	0.4229	0.0307	3.423	NA
2025-04-29	0669.HK	TECHTRONIC INDS.	HK0669013440	HONG KONG	Industrials	Industrial Goods and Services	Industrial Engineering	Machinery: Tools	76.95	8.176	18166.26	60532766.997	-0.118	0.0271	-0.118	1.171	-0.014	43.262	0.9	0.104	9.86	0.3652	0.0622	7.158	6.789
2025-04-29	0823.HK	LINK REAL ESTATE INVESTMENT TRUST	HK0823032773	HONG KONG	Real Estate	Real Estate	Real Estate Investment Trusts	Retail REITs	35.95	3.82	11966.13	37657126.709	0	-0.00512	0	0.973	-4.59	51.065	1.03	-0.0113	0.092	0.2475	-0.0215	7.396	NA
